acheteur_nom,titulaire_nom,titulaire_categorie,cpv_div,montant,offresRecues,ratio_to_median,titulaire_distance,acheteur_departement_nom,dateNotification
UNION DES GROUPEMENTS D'ACHATS PUBLICS (UGAP),BUREAU VERITAS EXPLOITATION,GE,71,870000000.0,1.0,8093.023255813953,25.0,Seine-et-Marne,2025-05-23
CA DU CENTRE LITTORAL,SECHE ENVIRONNEMENT,ETI,45,841500569.0,1.0,5723.922442569848,6836.0,Guyane,2025-07-25
RESEAU DES ACHETEURS HOSPITALIERS,JOHNSON & JOHNSON MEDICAL SAS,GE,33,800000000.0,1.0,8410.428931875525,10.0,Paris,2025-10-14
UNION DES GROUPEMENTS D'ACHATS PUBLICS (UGAP),TECHNAMM,PME,34,700000000.0,1.0,6482.390216554431,613.0,Seine-et-Marne,2025-09-05
COMMUNE DE MURET (MAIRIE),ECONOCOM PRODUCTS & SOLUTIONS,ETI,30,700000000.0,1.0,6300.0063000063,607.0,Haute-Garonne,2026-04-17
TUNNEL EURALPIN LYON TURIN (TELT SAS),,,45,648211748.09,1.0,4409.163711961535,,Savoie,2024-07-25
CENTRE HOSPITALIER UNIVERSITAIRE DE LILLE,ALNYLAM FRANCE SAS,ETI,33,601455000.0,1.0,6323.118166526493,203.0,Nord,2024-02-27
REGION HAUTS-DE-FRANCE,SOC DANIEL DEVRED,PME,72,601030126.5,1.0,4278.951791231792,,Nord,2024-01-03
COMMUNAUTE D'AGGLOMERATION ROISSY PAYS DE FRANCE,SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R (SFR),GE,64,600030000.0,1.0,3125.15625,25.0,Val-d'Oise,2025-10-24
COMMUNE DE SAINT-DENIS (MAIRIE),SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R (SFR),GE,32,600000000.0,1.0,3615.559923687582,13.0,Seine-Saint-Denis,2025-10-26
COMMUNAUTE D'AGGLOMERATION ROISSY PAYS DE FRANCE,ORANGE,GE,64,600000000.0,1.0,3125.0,26.0,Val-d'Oise,2025-10-24
COMMUNE DE MURET (MAIRIE),SCC FRANCE (SCC. SCC DIRECT. SCC EXCHANGE. SCC STORE),ETI,30,600000000.0,1.0,5400.0054000054,608.0,Haute-Garonne,2026-04-17
COMMUNAUTE D'AGGLOMERATION ROISSY PAYS DE FRANCE,LINKT,ETI,64,600000000.0,1.0,3125.0,23.0,Val-d'Oise,2025-10-26
CENTRE HOSPITALIER REGIONAL (CHR HOPITAL CIMIEZ),OFF AUDIT ENERG SCE INFORMA INSTRU SPECI (O A S I I S),PME,71,559701720.0,1.0,5206.527627906977,141.0,Alpes-Maritimes,2025-06-24
COMMUNE DE VESOUL (MAIRIE),ORANGE BUSINESS SERVICES,GE,64,500000000.0,1.0,2604.1666666666665,,Haute-Saône,2024-05-13
COMMUNAUTE D AGGLOMERATION DE VESOUL,CELLULAR ASSOCIATES,PME,64,500000000.0,1.0,2604.1666666666665,320.0,Haute-Saône,2024-05-13
RESEAU DES ACHETEURS HOSPITALIERS,ORANGE,GE,64,500000000.0,1.0,2604.1666666666665,8.0,Paris,2024-05-13
COMMUNE DE CAGNES SUR MER (MAIRIE),ELECTRICITE DE FRANCE,GE,09,500000000.0,1.0,2500.0,689.0,Alpes-Maritimes,2025-07-11
ATEXO,,,98,500000000.0,1.0,3873.2394093433845,,Paris,2025-04-15
COMMUNE DE BEZONS (MAIRIE),LINKT,ETI,64,500000000.0,1.0,2604.1666666666665,5.0,Val-d'Oise,2025-10-24
