cpv_div,cpv_label,n,total_eur
45,Travaux,762372,1029091271050.169
79,Éducation & formation,91662,317340317567.015
33,Médical & pharmacie,68726,208032280782.9443
80,Action sociale,22193,197593154980.55
71,Architecture & ingénierie,226605,158715654429.9818
90,Environnement,67159,110239096706.6217
72,Services informatiques,39589,109780662031.4975
64,Poste & télécom,9505,91510978804.07
60,Transport,36368,88864975414.38
32,Télécom & radio,15373,87744910500.3645
09,Énergie & carburants,23434,74353380978.14
50,Réparation & maintenance,61553,72612935019.1157
34,Transport & véhicules,48699,65826979145.1985
30,Matériel informatique,27998,64481523698.292
38,Laboratoire & optique,13482,62507565985.8597
15,Alimentation,37628,46151782618.915
48,Logiciels & SI,12866,41413938283.32
66,Finance & assurance,34886,41059416444.6267
44,Travaux de construction,46630,35705578373.757
31,Matériel électrique,16101,27663502824.9698
39,Mobilier & électroménager,41679,24434163778.46
63,Auxiliaire transport,4320,22414111868.99
85,Santé & social,12191,21466828611.69
55,Hôtels & restauration,17544,20772203517.66
93,Restauration collective,1671,18927638611.5
18,Textile & habillement,14331,18537404597.89
77,Conseil & RH,28910,15429140823.6906
35,Sécurité & défense,7242,13983242633.6574
91,Ordre public,1286,12656477194.45
75,Administration publique,13768,11314218195.12
65,CPV 65,3344,11125725768.03
24,Produits chimiques,6398,10367386345.69
92,Culture & sport,21633,9704602686.94
98,Autres services,6639,7603140741.93
42,Machines spécialisées,12849,6025132962.0199
22,Imprimés,11060,5769781278.55
16,Matériel agricole,4260,4600100573.93
37,Sport & loisirs,7838,4288684967.98
51,Installation (hors logiciel),2465,4160206038.65
43,Matériel BTP,3710,3156784749.18
03,Agriculture & forêt,8433,2853432904.26
14,Métallurgie,2568,2584294867.33
70,Immobilier,2853,2535289257.04
41,Déchets & assainissement,2580,2218045052.2
00,CPV 00,3217,1683924619.3
76,Publicité & marketing,291,1316312019.9
19,Bureautique & papier,1966,1008338729.33
40,CPV 40,530,960078921.01
74,CPV 74,4379,867092050.54
73,R&D & conseil,1267,601124624.13
11,CPV 11,277,389874584.84000003
78,CPV 78,149,316270834.69
61,CPV 61,11,261638953.62
28,CPV 28,1051,250577869.23
 7,CPV  7,80,147592665.26
20,CPV 20,309,88377849.28
29,CPV 29,340,57407527.87
23,CPV 23,95,56103421.25
 9,CPV  9,19,48172473.47
36,CPV 36,257,32770561.63
FR,CPV FR,4,24128688.92
12,CPV 12,150,23240858.51
25,CPV 25,123,22760382.17
95,Services supports,6,17470669.0
67,CPV 67,36,17263943.830000002
01,CPV 01,82,15168378.09
 4,CPV  4,68,12801665.17
  ,CPV   ,10,11420402.76
IA,CPV IA,3,10871615.44
7 ,CPV 7 ,1,9156624.0
t7,CPV t7,22,8059957.0
46,CPV 46,14,6810899.5
54,CPV 54,36,6275948.97
