cpv_div,cpv_label,n_winners,total_eur,hhi,top1_share
78,CPV 78,98,315670271.69,4516.404640014386,47.517936737262865
 7,CPV  7,52,144719713.26,4025.0238710465537,62.18917794447819
67,CPV 67,23,12646943.83,3235.4045726476534,52.174660445218414
40,CPV 40,259,959842930.8699999,2422.0398954362936,44.53072711517317
14,Métallurgie,795,2538878151.95,2037.5926294577196,31.50997976746365
54,CPV 54,27,6275948.97,1875.211118327515,39.04834681917435
Tr,CPV Tr,28,5074249.4399999995,1534.9337161319274,34.18126721023002
17,CPV 17,22,3734620.36,1466.223635498043,31.623874347431663
21,Armes & munitions,25,5494499.599999999,1389.758875696116,28.82356930192515
47,CPV 47,21,3210084.1100000003,1274.4049391803958,30.245908416399715
48,Logiciels & SI,2983,40566716535.97,1254.8158496795477,32.161018016781526
11,CPV 11,69,389574584.84,1226.024440663903,25.288770734482597
43,Matériel BTP,1274,3074858396.36,1042.2041825761155,21.004505890891235
01,CPV 01,34,14967378.09,981.6033920850231,19.68200430487021
76,Publicité & marketing,90,491345949.9,980.5260738718806,14.246581255884289
 4,CPV  4,59,11197186.29,952.4200724844013,25.006282180913864
91,Ordre public,233,11026344448.869999,947.0844589408348,20.450598754794857
04,CPV 04,26,4460212.749999999,930.9455143543486,20.52189035153088
09,Énergie & carburants,3100,71244315290.58,873.966593086431,21.83764053289611
93,Restauration collective,654,17310000725.940002,839.3594243856079,20.498158753643363
64,Poste & télécom,963,90082043228.48,824.4050935989164,19.250066441185677
lo,CPV lo,24,4292320.74,813.6674921493455,14.793861839877323
16,Matériel agricole,954,4520330618.679999,806.8308058785814,17.74884745563777
23,CPV 23,45,56085421.25,728.0373723504159,16.454400794930287
15,Alimentation,3467,45370788086.355,628.8143502783159,20.839045175509057
19,Bureautique & papier,556,950792796.49,625.476386794857,20.205243530367927
22,Imprimés,1980,5636375061.83,616.3198942553565,14.296962057354031
65,CPV 65,859,10768492174.279999,607.6728399624695,16.35403408442138
25,CPV 25,59,22291937.17,574.0753564946775,15.341910861845479
30,Matériel informatique,3161,63046633365.262,547.98142973367,14.664412042553446
51,Installation (hors logiciel),1108,3932430264.98,529.2559949338136,11.025190296723673
12,CPV 12,54,18055673.75,496.91956702725565,10.073146342711249
98,Autres services,2568,7015958543.74,482.3572140965904,11.996897800244357
37,Sport & loisirs,1590,4003593434.63,331.66295830924787,7.908991072148246
20,CPV 20,213,88296546.28,325.8785807082973,11.615882423617713
31,Matériel électrique,3611,27008814893.429802,294.08506915496145,10.473814867560703
32,Télécom & radio,3461,82825528296.87451,287.2371815112544,8.958953444514293
73,R&D & conseil,753,497696646.72,276.6381368984875,11.54587152208169
79,Éducation & formation,19687,314455034414.94495,269.2393231027114,6.878048026243361
66,Finance & assurance,1587,38503523886.5284,251.218490736609,7.6554624471172446
36,CPV 36,163,31573371.699999996,234.51209299216637,7.6013421145008735
35,Sécurité & défense,1897,12544014494.177399,214.65952986279214,5.557128223772138
42,Machines spécialisées,4258,5707375671.6098995,210.48839134113663,12.873496038727545
85,Santé & social,3551,20950269456.24,206.7241409115144,6.725450424124888
55,Hôtels & restauration,3113,20311247127.13,205.31660873701782,5.945157895632507
38,Laboratoire & optique,2388,49965757671.869705,199.49916968959863,4.234035728374528
41,Déchets & assainissement,787,2200098603.5299997,198.49654024753752,6.742704066171515
18,Textile & habillement,1804,16910273391.519999,198.12489692538352,7.6928835736763235
77,Conseil & RH,5067,14839770458.339,180.7369182706464,8.254850269005528
63,Auxiliaire transport,1262,21999534684.01,171.28179090544967,5.563138828065968
75,Administration publique,5994,11065655372.44,149.5571729554215,9.087283890156703
03,Agriculture & forêt,1793,2722242753.95,146.83488900092777,7.00859031264426
24,Produits chimiques,1068,9800130984.18,142.84306242280667,4.14350294272089
70,Immobilier,1070,2443484628.1099997,139.18438492141433,6.1167086971038485
29,CPV 29,251,56703602.87,119.72789617889526,5.728586431178213
72,Services informatiques,7235,104429574726.5875,116.65810272558804,4.235895323055243
44,Travaux de construction,12107,34660517417.276,116.24041113409298,5.2201222282047395
28,CPV 28,643,249083634.69,114.94305438562172,5.183434807376506
34,Transport & véhicules,7804,62224958604.9285,104.71306400327735,4.8720284514418015
50,Réparation & maintenance,10334,69375960823.14569,102.18707068890689,4.572042077119268
00,CPV 00,1582,1520030739.26,100.52635979070581,5.445147513286086
80,Action sociale,5402,197330822255.41,75.88395953292071,3.678150464135621
39,Mobilier & électroménager,7281,22986330161.33,70.64552175154101,3.52738830313175
90,Environnement,9686,104736886633.22171,66.7432003263679,3.05651239503674
60,Transport,4008,86015652974.93,66.10863852868114,3.1992638093581127
33,Médical & pharmacie,3672,197979857474.9833,62.35133652487639,2.7880604890613583
92,Culture & sport,7532,9221700040.73,46.91142976087219,2.6025567405139904
71,Architecture & ingénierie,25208,153640518283.24176,23.803092821624706,1.814263573122845
74,CPV 74,2394,847168788.01,22.397598976907535,2.360804633393071
45,Travaux,56156,991000884232.8018,19.255032134433677,2.0364876664074725
