acheteur_region_nom,n,total_eur
Île-de-France,266947,846016021331.6449
Provence-Alpes-Côte d'Azur,171927,666903680628.344
Hauts-de-France,131442,352231091181.3568
Auvergne-Rhône-Alpes,264918,315565192076.181
Occitanie,209375,244909221280.788
Nouvelle-Aquitaine,164319,186668675131.424
Pays de la Loire,129191,94828414179.452
Grand Est,139644,94303114494.9283
Centre-Val de Loire,78856,71290090118.48
Bretagne,96698,63170780947.737
Normandie,88528,54244811246.67
Bourgogne-Franche-Comté,76492,44888053626.64
La Réunion,37264,44490099493.6
Martinique,7581,10326505857.37
Mayotte,8196,9647758244.91
Corse,13216,9350637827.82
Guadeloupe,7219,8979695009.39
Guyane,4948,4348389670.23
Saint-Martin,815,1863967818.39
Saint-Barthélemy,1004,1088994098.71
Saint-Pierre-et-Miquelon,325,194635577.83
Polynésie française,99,15224039.15
Wallis-et-Futuna,13,13699578.62
Nouvelle-Calédonie,37,8061766.25
