acheteur_nom,n,single_bid_rate,avg_offers
COMMUNE DE LA HAGUE (MAIRIE),398,77.38693467336684,1.7487437185929648
VAL DE SEINE AMENAGEMENT,264,74.24242424242425,1.7007575757575757
RESEAU DES ACHETEURS HOSPITALIERS,10506,71.74947648962498,4.147058823529412
COMMUNE DE VERSAILLES (MAIRIE),292,71.23287671232876,1.8767123287671232
ETABLISSEMENT PUBLIC FONCIER LOCAL BEARN PYRENEES,402,70.1492537313433,1.6940298507462686
CA DU PAYS DE SAINT-OMER,323,68.42105263157895,1.9256965944272446
COMMUNE DE MARSEILLE (DIRECTION RESSOURCES HUMAINES),5280,65.98484848484848,3.36780303030303
COMMUNE DE VIERZON (MAIRIE),305,60.983606557377044,1.6557377049180328
SM D'INGENIERIE POUR LES COLLECTIVITES ET TERRITOIRES INNOVANTS DES ALPES-MEDITERRANEE,395,57.974683544303794,2.0455696202531644
COMMUNE DE TOULON (MAIRIE),459,57.9520697167756,2.4923747276688455
EPCC PONT DU GARD,286,55.59440559440559,5.451048951048951
ATEXO,1349,55.37435137138621,1.8569310600444775
DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES STRASBOURG - GRAND-EST,224,54.91071428571429,5.924107142857143
DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES TOULOUSE - SUD,312,54.807692307692314,1.8653846153846154
DIRECTION INTERREGIONALE DES SERVICES PENITENTIAIRES LYON - CENTRE-EST,315,53.96825396825397,4.253968253968254
DEPARTEMENT DE LA CHARENTE,609,51.88834154351396,2.334975369458128
COMMUNE D UGINE (MAIRIE),218,51.8348623853211,2.3440366972477062
UNIVERSITE AMIENS PICARDIE JULES VERNE (PRESIDENCE DE L UNIVERSITE),414,49.033816425120776,2.8743961352657004
COMMUNE DE SAINT MAUR DES FOSSES (MAIRIE),284,48.23943661971831,2.4577464788732395
COMMUNE DE DREUX (MAIRIE),250,48.0,2.432
