acheteur_latitude,acheteur_longitude,montant,acheteur_region_nom,type,titulaire_categorie,year
49.49096,0.120113,18225.0,Normandie,Services,PME,2020.0
45.186917,5.732597,146394.77,Auvergne-Rhône-Alpes,Travaux,PME,2023.0
46.674374,-1.428543,260180.56,Pays de la Loire,Travaux,,2023.0
48.840954,2.392684,3360000.0,Île-de-France,Travaux,ETI,2025.0
49.156483,5.38177,22685.0,Grand Est,Fournitures,PME,2021.0
47.298968,-1.493705,60000.0,Pays de la Loire,Services,PME,2024.0
45.275142,5.896992,355823.7,Auvergne-Rhône-Alpes,Travaux,ETI,2025.0
43.616475,4.009073,2070.0,Occitanie,Services,PME,2024.0
46.811895,1.6871,74905.26,Centre-Val de Loire,Travaux,ETI,2026.0
48.090585,-1.644048,46799.85,Bretagne,Travaux,PME,2023.0
45.186917,5.732597,52851.75,Auvergne-Rhône-Alpes,Travaux,PME,2024.0
44.837353,-0.584767,146508.0,Nouvelle-Aquitaine,Services,ETI,2022.0
50.429521,2.789844,3041542.0,Hauts-de-France,Travaux,PME,2022.0
45.542121,5.393951,1311655.69,Auvergne-Rhône-Alpes,Travaux,PME,2022.0
-20.90339,55.48602,78341.0,La Réunion,Services,PME,2023.0
50.498001,2.681688,74907.21,Hauts-de-France,Travaux,ETI,2021.0
46.368524,6.479859,159105.63,Auvergne-Rhône-Alpes,Travaux,,2024.0
48.481092,-2.167517,602064.42,Bretagne,Travaux,PME,2025.0
44.349348,2.576618,76304.0,Occitanie,Travaux,ETI,2025.0
47.363857,0.676654,100000.0,Centre-Val de Loire,Services,ETI,2026.0
48.859084,2.328006,119280.21,Île-de-France,Services,GE,2023.0
43.5807,7.12746,44471.58,Provence-Alpes-Côte d'Azur,Services,GE,2023.0
44.927111,4.922741,80000.0,Auvergne-Rhône-Alpes,Services,PME,2020.0
47.515925,6.809432,41255.0,Bourgogne-Franche-Comté,Travaux,PME,2022.0
48.885181,2.385257,48000.0,Île-de-France,Travaux,ETI,2021.0
45.83433,1.255749,66747.0,Nouvelle-Aquitaine,Travaux,PME,2024.0
48.838433,2.369931,80495.0,Île-de-France,Travaux,PME,2024.0
48.868985,2.281787,4000000.0,Île-de-France,Services,PME,2025.0
49.255106,4.035877,299102.0,Grand Est,Travaux,PME,2021.0
50.952569,1.854268,65157.53,Hauts-de-France,Travaux,ETI,2019.0
43.836451,4.360286,89600.0,Occitanie,Services,ETI,2021.0
48.076851,7.336788,720.0,Grand Est,Fournitures,PME,2023.0
48.859714,2.335762,936944.0,Île-de-France,Services,PME,2021.0
48.876051,2.335796,400000.0,Île-de-France,Services,ETI,2025.0
50.282381,2.761587,2400000.0,Hauts-de-France,Services,PME,2020.0
48.076851,7.336788,10200.0,Grand Est,Fournitures,ETI,2025.0
46.844047,-1.496372,145014.69,Pays de la Loire,Fournitures,PME,2021.0
45.814204,1.232307,5402.0,Nouvelle-Aquitaine,Fournitures,ETI,2021.0
44.039363,1.107096,119000.0,Occitanie,Travaux,PME,2020.0
43.705066,7.253106,20000000.0,Provence-Alpes-Côte d'Azur,Travaux,PME,2021.0
46.568527,3.333844,1400000.0,Auvergne-Rhône-Alpes,Fournitures,GE,2023.0
45.767808,4.835757,1300000.0,Auvergne-Rhône-Alpes,Travaux,PME,2020.0
43.676218,4.627411,400000.0,Provence-Alpes-Côte d'Azur,Services,PME,2019.0
48.824396,2.370362,1200000.0,Île-de-France,Travaux,GE,2020.0
50.360404,3.500886,140981.68,Hauts-de-France,Fournitures,PME,2024.0
45.915237,6.126292,47280.4,Auvergne-Rhône-Alpes,Travaux,PME,2022.0
49.107222,6.176868,375000.0,Grand Est,Fournitures,PME,2020.0
43.67538,7.19965,1801220.0,Provence-Alpes-Côte d'Azur,Travaux,,2023.0
48.53667,-2.998807,172316.0,Bretagne,Travaux,PME,2024.0
48.96336,2.53443,600000.0,Île-de-France,Fournitures,PME,2023.0
43.783738,4.075697,77370.0,Occitanie,Services,ETI,2022.0
49.178416,-0.359722,76851.0,Normandie,Travaux,PME,2021.0
45.438977,4.38759,544000.0,Auvergne-Rhône-Alpes,Fournitures,PME,2024.0
44.66134,6.649909,364570.01,Provence-Alpes-Côte d'Azur,Travaux,GE,2022.0
43.396978,6.139768,2500000.0,Provence-Alpes-Côte d'Azur,Travaux,ETI,2026.0
43.291346,5.393925,3304800.0,Provence-Alpes-Côte d'Azur,Fournitures,ETI,2025.0
43.302103,5.374153,1183261.37,Provence-Alpes-Côte d'Azur,Travaux,GE,2026.0
41.91793,8.73236,290492.0,Corse,Services,,2023.0
44.850117,-0.570861,1148970.0,Nouvelle-Aquitaine,Services,ETI,2024.0
50.673749,3.094622,433333.32,Hauts-de-France,Travaux,PME,2019.0
48.824403,2.273842,692500.0,Île-de-France,Services,PME,2022.0
49.178416,-0.359722,100000.0,Normandie,Services,PME,2026.0
45.186917,5.732597,140140.0,Auvergne-Rhône-Alpes,Services,ETI,2022.0
50.661231,3.050219,8597.0,Hauts-de-France,Travaux,PME,2021.0
48.573465,7.753399,6784.0,Grand Est,Non catégorisé,PME,2025.0
46.20494,5.225525,95098.0,Auvergne-Rhône-Alpes,Fournitures,PME,2018.0
48.92784,2.043736,80000.0,Île-de-France,Fournitures,PME,2022.0
49.025199,1.142925,2000.0,Normandie,Fournitures,PME,2024.0
44.635858,-1.071385,4800000.0,Nouvelle-Aquitaine,Services,ETI,2025.0
45.756874,4.852567,21254.0,Auvergne-Rhône-Alpes,Services,PME,2022.0
50.375787,3.084317,70215.11,Hauts-de-France,Travaux,PME,2022.0
48.627916,2.437467,2450000.0,Île-de-France,Services,PME,2022.0
45.513213,4.865758,240000.0,Auvergne-Rhône-Alpes,Services,ETI,2026.0
43.948085,4.805349,9000000.0,Provence-Alpes-Côte d'Azur,Services,PME,2022.0
47.247379,-2.167366,165703.25,Pays de la Loire,Travaux,PME,2020.0
42.634052,2.759142,50400.0,Occitanie,Fournitures,PME,2021.0
48.835114,2.369261,80000.0,Île-de-France,Fournitures,GE,2019.0
48.8618,2.443557,20000.0,Île-de-France,Services,PME,2026.0
43.334936,5.391425,289940.0,Provence-Alpes-Côte d'Azur,Fournitures,ETI,2024.0
48.766441,5.158953,600000.0,Grand Est,Fournitures,ETI,2024.0
48.321443,0.821753,93834.16,Centre-Val de Loire,Travaux,ETI,2021.0
47.901162,1.909564,752000.0,Centre-Val de Loire,Travaux,PME,2022.0
45.733661,4.909219,99999999.0,Auvergne-Rhône-Alpes,Fournitures,PME,2022.0
45.696793,4.885262,200000.0,Auvergne-Rhône-Alpes,Services,PME,2025.0
43.448935,1.887118,122765.0,Occitanie,Travaux,PME,2025.0
47.903048,1.908364,20710864.84,Centre-Val de Loire,Travaux,PME,2019.0
43.324201,-0.346267,21229.0,Nouvelle-Aquitaine,Services,,2023.0
43.593264,1.418988,18000.0,Occitanie,Travaux,PME,2026.0
47.217213,5.970024,38649.0,Bourgogne-Franche-Comté,Travaux,PME,2025.0
47.50649,6.997653,1049151.37,Bourgogne-Franche-Comté,Fournitures,PME,2021.0
43.233922,3.056885,89621.2,Occitanie,Travaux,GE,2022.0
43.60576,3.91995,256000.0,Occitanie,Travaux,PME,2018.0
47.673476,-2.76065,230000.0,Bretagne,Travaux,GE,2026.0
48.069754,-0.766995,657625.03,Pays de la Loire,Travaux,PME,2022.0
45.765944,4.879525,100000.0,Auvergne-Rhône-Alpes,Fournitures,ETI,2018.0
43.27317,6.639765,24324.43,Provence-Alpes-Côte d'Azur,Travaux,PME,2023.0
46.83092,-1.595084,45380.0,Pays de la Loire,Travaux,PME,2022.0
49.177586,-0.349372,21320.0,Normandie,Travaux,ETI,2021.0
50.641024,2.741446,63648.0,Hauts-de-France,Services,PME,2026.0
44.935325,4.894642,187611.0,Auvergne-Rhône-Alpes,Travaux,PME,2020.0
43.60791,3.89298,253645.0,Occitanie,Fournitures,PME,2023.0
43.458251,2.005874,266173.15,Occitanie,Travaux,ETI,2023.0
45.826609,1.260348,90000.0,Nouvelle-Aquitaine,Services,PME,2019.0
43.303057,5.367365,31200.0,Provence-Alpes-Côte d'Azur,Services,PME,2025.0
43.812833,4.316874,531666.68,Occitanie,Services,PME,2024.0
47.222781,-1.609815,133704.0,Pays de la Loire,Services,,2024.0
43.996899,5.05965,199587.0,Provence-Alpes-Côte d'Azur,Travaux,PME,2025.0
46.674374,-1.428543,200000.0,Pays de la Loire,Fournitures,GE,2022.0
49.199977,-0.360767,1.0,Normandie,Fournitures,ETI,2026.0
48.447421,1.484197,314265.0,Centre-Val de Loire,Services,,2024.0
48.800816,2.031222,126000.0,Île-de-France,Fournitures,ETI,2025.0
45.441041,4.403051,60000.0,Auvergne-Rhône-Alpes,Services,PME,2021.0
48.193165,7.335516,94330.76,Grand Est,Services,GE,2024.0
49.106147,6.222615,220000.0,Grand Est,Services,GE,2024.0
45.186917,5.732597,511920.23,Auvergne-Rhône-Alpes,Travaux,GE,2020.0
46.633535,1.064382,145020.0,Centre-Val de Loire,Services,PME,2025.0
44.927126,2.445976,200000.0,Auvergne-Rhône-Alpes,Travaux,PME,2019.0
48.494968,6.510023,108699.0,Grand Est,Travaux,PME,2023.0
44.927111,4.922741,28872.5,Auvergne-Rhône-Alpes,Fournitures,ETI,2021.0
45.827811,4.610219,528800.0,Auvergne-Rhône-Alpes,Services,PME,2020.0
45.856798,6.617972,99397.0,Auvergne-Rhône-Alpes,Travaux,PME,2023.0
43.658093,-0.517676,59660.05,Nouvelle-Aquitaine,Travaux,PME,2025.0
51.039119,2.371607,24956.31,Hauts-de-France,Fournitures,ETI,2024.0
46.205702,5.216669,5090997.89,Auvergne-Rhône-Alpes,Travaux,PME,2022.0
48.59015,7.752931,309065.3,Grand Est,Travaux,PME,2023.0
43.303057,5.367365,6506.0,Provence-Alpes-Côte d'Azur,Services,PME,2024.0
43.270095,2.403752,653515.57,Occitanie,Travaux,PME,2024.0
48.972849,2.836386,1784.0,Île-de-France,Services,GE,2018.0
45.265173,1.772939,4000000.0,Nouvelle-Aquitaine,Services,PME,2022.0
42.457985,2.038607,67824.3,Occitanie,Travaux,PME,2024.0
43.598842,3.896549,507886.12,Occitanie,Services,GE,2024.0
45.937933,6.090636,80000.0,Auvergne-Rhône-Alpes,Services,PME,2025.0
47.600241,1.341516,1116637.92,Centre-Val de Loire,Fournitures,GE,2025.0
50.367674,3.080099,8222.5,Hauts-de-France,Services,PME,2023.0
48.373544,-4.369991,57500.0,Bretagne,Fournitures,PME,2025.0
45.765771,5.005432,80000.0,Auvergne-Rhône-Alpes,Fournitures,PME,2024.0
49.49096,0.120113,14631.0,Normandie,Services,ETI,2019.0
47.810876,7.33864,48878.52,Grand Est,Travaux,PME,2023.0
45.814204,1.232307,44160.0,Nouvelle-Aquitaine,Fournitures,PME,2024.0
46.673874,5.525607,205233.0,Bourgogne-Franche-Comté,Fournitures,GE,2020.0
46.566491,3.354098,25105.0,Auvergne-Rhône-Alpes,Fournitures,ETI,2024.0
4.938042,-52.335024,163420.0,Guyane,Travaux,ETI,2024.0
14.601865,-61.073607,8820.0,Martinique,Services,PME,2021.0
50.367674,3.080099,7788.0,Hauts-de-France,Travaux,PME,2025.0
47.214691,-1.546333,18900.0,Pays de la Loire,Services,,2025.0
44.557993,6.077445,3999996.0,Provence-Alpes-Côte d'Azur,Travaux,GE,2023.0
43.303057,5.367365,1900.0,Provence-Alpes-Côte d'Azur,Fournitures,PME,2022.0
44.927126,2.445976,225410.0,Auvergne-Rhône-Alpes,Travaux,PME,2025.0
48.856842,2.350388,400000.0,Île-de-France,Services,PME,2022.0
47.697062,-0.073667,58779.31,Pays de la Loire,Travaux,,2024.0
47.588565,1.335934,83491.4,Centre-Val de Loire,Fournitures,GE,2024.0
-21.275652,55.514505,140000.0,La Réunion,Fournitures,,2025.0
50.722366,2.536203,104746.0,Hauts-de-France,Travaux,GE,2025.0
48.849021,2.552482,1907700.0,Île-de-France,Services,ETI,2025.0
48.296684,-0.939556,88936.9,Pays de la Loire,Travaux,PME,2022.0
43.537159,6.464659,524660.24,Provence-Alpes-Côte d'Azur,Services,PME,2025.0
48.732143,-3.458615,120000.0,Bretagne,Fournitures,ETI,2024.0
48.046531,7.175542,82827.0,Grand Est,Travaux,,2021.0
44.837353,-0.584767,144000.0,Nouvelle-Aquitaine,Services,PME,2023.0
44.660989,-1.170577,400000.0,Nouvelle-Aquitaine,Services,PME,2020.0
48.409484,-4.507309,2580000.0,Bretagne,Travaux,ETI,2021.0
46.818,0.5461,207824.1,Nouvelle-Aquitaine,Travaux,ETI,2020.0
49.494266,0.106813,10000.0,Normandie,Fournitures,PME,2022.0
43.691673,7.332787,6429.09,Provence-Alpes-Côte d'Azur,Services,PME,2022.0
47.358024,-1.943582,26750.0,Pays de la Loire,Services,PME,2020.0
48.864824,2.361186,4360.0,Île-de-France,Services,PME,2022.0
45.081075,5.085643,333980.0,Auvergne-Rhône-Alpes,Travaux,PME,2025.0
44.058929,5.067823,346161.0,Provence-Alpes-Côte d'Azur,Fournitures,PME,2023.0
48.89817,2.574284,134400.0,Île-de-France,Fournitures,ETI,2026.0
42.919121,1.654571,50000.0,Occitanie,Travaux,PME,2025.0
49.439338,1.026765,190402.0,Normandie,Services,GE,2022.0
43.949343,4.806112,976290.63,Provence-Alpes-Côte d'Azur,Services,PME,2025.0
48.95355,4.365717,407541.65,Grand Est,Travaux,GE,2022.0
48.81775,2.360326,1.0,Île-de-France,Services,PME,2019.0
50.372623,2.037589,641365.81,Hauts-de-France,Services,PME,2024.0
48.850959,2.422351,1901508.48,Île-de-France,Fournitures,GE,2021.0
46.694919,-1.426398,874929.5,Pays de la Loire,Travaux,ETI,2024.0
43.592995,1.357349,223600.0,Occitanie,Services,PME,2024.0
48.80248,2.131327,96000000.0,Île-de-France,Services,PME,2022.0
43.125895,0.384783,55408.0,Occitanie,Travaux,PME,2026.0
45.827811,4.610219,91030.6,Auvergne-Rhône-Alpes,Travaux,,2023.0
44.875114,4.878106,152000.0,Auvergne-Rhône-Alpes,Fournitures,PME,2026.0
45.265173,1.772939,69757.8,Nouvelle-Aquitaine,Travaux,PME,2024.0
42.614708,2.995301,887591.5,Occitanie,Travaux,PME,2024.0
47.589721,1.333458,34605.0,Centre-Val de Loire,Fournitures,ETI,2020.0
43.482258,-1.482188,191500.0,Nouvelle-Aquitaine,Fournitures,PME,2019.0
50.362457,3.525686,3051489.86,Hauts-de-France,Travaux,GE,2022.0
48.697926,2.503988,140000.0,Île-de-France,Services,PME,2022.0
44.357091,2.026639,15000.0,Occitanie,Travaux,,2026.0
43.840272,4.838227,165000.0,Provence-Alpes-Côte d'Azur,Services,ETI,2023.0
48.410867,-1.364775,91450.0,Bretagne,Services,PME,2021.0
46.561747,4.912477,75167.12,Bourgogne-Franche-Comté,Fournitures,ETI,2021.0
48.17674,-2.7512,137378.26,Bretagne,Travaux,GE,2022.0
48.015665,6.59157,190727.4,Grand Est,Travaux,PME,2020.0
46.977767,3.123401,6666.0,Bourgogne-Franche-Comté,Fournitures,PME,2020.0
45.645809,0.158007,600000.0,Nouvelle-Aquitaine,Fournitures,ETI,2023.0
43.304507,-0.339262,35000.0,Nouvelle-Aquitaine,Services,PME,2024.0
45.910769,6.115225,745189.5,Auvergne-Rhône-Alpes,Travaux,ETI,2026.0
48.580714,7.766568,15860.0,Grand Est,Services,ETI,2020.0
47.162318,6.72891,163010.0,Bourgogne-Franche-Comté,Travaux,PME,2023.0
44.379272,4.642699,44124.0,Auvergne-Rhône-Alpes,Services,PME,2022.0
45.186917,5.732597,339883.5,Auvergne-Rhône-Alpes,Travaux,PME,2021.0
50.633633,3.072709,1179991.06,Hauts-de-France,Travaux,PME,2021.0
46.066542,6.310948,1000000.0,Auvergne-Rhône-Alpes,Fournitures,PME,2020.0
-20.9964,55.679806,74093.0,La Réunion,Travaux,PME,2024.0
48.812344,2.503971,12000.0,Île-de-France,Services,PME,2022.0
48.407664,-4.396364,142000.0,Bretagne,Travaux,PME,2021.0
45.898746,6.128526,20000000.0,Auvergne-Rhône-Alpes,Fournitures,ETI,2024.0
43.129679,5.936625,41680.0,Provence-Alpes-Côte d'Azur,Services,ETI,2025.0
49.144553,6.804537,36274.42,Grand Est,Travaux,PME,2019.0
44.558774,6.079671,159077.0,Provence-Alpes-Côte d'Azur,Services,PME,2023.0
48.990153,6.086348,44058.93,Grand Est,Travaux,PME,2025.0
43.800493,5.063679,124330.8,Provence-Alpes-Côte d'Azur,Travaux,PME,2022.0
48.843136,2.391292,120000.0,Île-de-France,Services,PME,2024.0
48.70619,2.07216,1491119.34,Île-de-France,Travaux,GE,2019.0
47.615435,-0.561625,63142.93,Pays de la Loire,Travaux,PME,2024.0
48.006797,-2.088798,21750.0,Bretagne,Services,PME,2026.0
47.355811,-0.859078,2830.0,Pays de la Loire,Travaux,PME,2024.0
49.047968,-1.445537,189885.35,Normandie,Travaux,PME,2021.0
47.901673,1.895663,20800.0,Centre-Val de Loire,Services,PME,2018.0
43.135949,5.754695,133344.0,Provence-Alpes-Côte d'Azur,Services,,2023.0
50.37008,3.501033,3264.72,Hauts-de-France,Travaux,PME,2025.0
45.758093,4.8544,209000.0,Auvergne-Rhône-Alpes,Services,PME,2019.0
48.295332,4.076435,120315.0,Grand Est,Travaux,PME,2022.0
44.850117,-0.570861,830248.0,Nouvelle-Aquitaine,Fournitures,,2020.0
48.935803,2.358066,624000.0,Île-de-France,Services,ETI,2024.0
50.375787,3.084317,88740.0,Hauts-de-France,Services,PME,2020.0
43.310576,6.638634,109388.88,Provence-Alpes-Côte d'Azur,Services,PME,2021.0
45.044082,5.051984,1359846.95,Auvergne-Rhône-Alpes,Travaux,ETI,2024.0
49.51912,0.543999,300.0,Normandie,Fournitures,GE,2024.0
46.794814,-1.902807,614962.5,Pays de la Loire,Services,PME,2022.0
45.918581,6.083355,94759.05,Auvergne-Rhône-Alpes,Travaux,GE,2023.0
48.84475,2.280145,400000.0,Île-de-France,Fournitures,PME,2020.0
46.308708,6.036536,374930.0,Auvergne-Rhône-Alpes,Services,PME,2026.0
48.838433,2.369931,555212.0,Île-de-France,Travaux,,2022.0
49.429739,2.081534,10000.0,Hauts-de-France,Fournitures,GE,2021.0
44.63554,-1.021003,17040.0,Nouvelle-Aquitaine,Services,PME,2023.0
46.568527,3.333844,59000.0,Auvergne-Rhône-Alpes,Travaux,PME,2021.0
43.522452,5.438208,14526.62,Provence-Alpes-Côte d'Azur,Travaux,ETI,2024.0
47.353985,5.05662,6472.32,Bourgogne-Franche-Comté,Services,GE,2025.0
-20.875721,55.447117,230255.0,La Réunion,Travaux,PME,2025.0
-12.704297,45.121474,445957.32,Mayotte,Travaux,GE,2023.0
47.363857,0.676654,39141.74,Centre-Val de Loire,Travaux,ETI,2025.0
44.800556,-0.683246,570647.78,Nouvelle-Aquitaine,Fournitures,GE,2022.0
43.599115,1.436508,286400.0,Occitanie,Fournitures,PME,2025.0
50.408176,1.592366,215000.0,Hauts-de-France,Services,PME,2025.0
46.106513,-1.112684,250000.0,Nouvelle-Aquitaine,Fournitures,GE,2022.0
48.90117,2.316956,35958.0,Île-de-France,Fournitures,PME,2020.0
46.628298,5.22322,54126.23,Bourgogne-Franche-Comté,Travaux,PME,2023.0
50.679563,3.239564,46000.0,Hauts-de-France,Fournitures,PME,2023.0
48.275291,-3.574812,63316.42,Bretagne,Travaux,PME,2022.0
50.464288,1.76274,1606484.1,Hauts-de-France,Travaux,ETI,2025.0
48.862398,2.338903,10000.0,Île-de-France,Fournitures,ETI,2018.0
47.059451,-0.876506,150000.0,Pays de la Loire,Services,PME,2020.0
50.633633,3.072709,15232000.0,Hauts-de-France,Travaux,ETI,2025.0
43.305014,5.365574,42988.84,Provence-Alpes-Côte d'Azur,Services,,2023.0
47.905333,1.899088,787697.0,Centre-Val de Loire,Travaux,,2024.0
43.135949,5.754695,294937.5,Provence-Alpes-Côte d'Azur,Services,PME,2025.0
43.948085,4.805349,133400.0,Provence-Alpes-Côte d'Azur,Services,PME,2023.0
48.44393,1.487962,99000.0,Centre-Val de Loire,Fournitures,PME,2024.0
45.783804,3.084543,11856.0,Auvergne-Rhône-Alpes,Travaux,PME,2019.0
48.839235,2.348402,4814873.23,Île-de-France,Travaux,PME,2025.0
43.877237,4.592368,379120.0,Occitanie,Services,PME,2021.0
50.782626,3.124746,114507.0,Hauts-de-France,Services,GE,2022.0
46.107532,5.826103,24000.0,Auvergne-Rhône-Alpes,Services,PME,2020.0
49.490559,5.191507,45600.0,Grand Est,Travaux,PME,2022.0
49.754182,4.717033,350000.0,Grand Est,Travaux,PME,2026.0
47.901162,1.909564,450313.77,Centre-Val de Loire,Travaux,PME,2023.0
